,Source,Destination,Starting At,Reaching At,Total Distance,Direction,Drive for_miles,Reach at,Street/Highway,Description,Delay_min,type of incident,Incident Latitude,incident Logintude
0,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Callowhill St: new road layout between 17th St and 15th St,0.0,Construction,39.959789,-75.163719
1,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Callowhill St: new road layout between 17th St and 15th St,0.0,Construction,39.959789,-75.163719
2,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,I-95 S/B: exit ramp to E Girard Ave W/B closed.,0.0,Construction,39.973728,-75.12043
3,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Dauphin St: road closed from American St to 3rd St,0.0,Construction,39.985661,-75.138657
4,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,US-1 S/B: entry ramp from W Cayuga St closed.,0.0,Construction,40.020618,-75.154716
5,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Cheltenham Ave N/B: exit ramp closed at PA-611 Old York Rd,0.0,Construction,40.06192,-75.136642
6,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Cheltenham Ave N/B: exit ramp closed at PA-611 Old York Rd,0.0,Construction,40.06192,-75.136642
7,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,I-95 S/B: two lanes closed between Exit 39 PA-413 Veterans Hwy and Exit 37 Street Rd,0.0,Construction,40.083244,-74.934753
8,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,Tyson Ave: road closed from Custer Ave to Edge Hill Rd,0.0,Construction,40.113899,-75.152473
9,"3619 Spring Garden St, Philadelphia, PA","1515 Massachusetts Ave, Cambridge, MA",22:56:04,1 days 04:19:14.000000000,306.19,Start out going east on Spring Garden St toward N 36th St.,0.923,0 days 22:58:58.000000000,Spring Garden St,PA-132 Street Rd: intermittent lane closures between Old Lincoln Hwy and Greenwood Sq,0.0,Construction,40.123859,-74.962601
